Timestamp,ハピナ名掛丁商店街・東 - ハピナ名掛丁商店街・西,ハピナ名掛丁商店街・西 - クリスロード商店街・中央,クリスロード商店街・中央 - クリスロード商店街・西,クリスロード商店街・西 - マーブルロードおおまち商店街・東,マーブルロードおおまち商店街・東 - マーブルロードおおまち商店街・西,マーブルロードおおまち商店街・西 - ぶらんど～む一番町商店街・南,ぶらんど～む一番町商店街・南 - サンモール一番町商店街・中央,ぶらんど～む一番町商店街・南 - ぶらんど～む一番町商店街・北,サンモール一番町商店街・中央 - サンモール一番町商店街・南,ぶらんど～む一番町商店街・北 - 一番町四丁目商店街・南,一番町四丁目商店街・南 - 一番町四丁目商店街・中央,一番町四丁目商店街・中央 - 一番町四丁目商店街・北
2025-10-30 03:00:00,159.62364227375042,125.37931460801498,249.5161037316143,553.8640049554364,59.55379502425481,210.9352889756761,27.857653435903458,,71.12888483962587,,762.4781876796089,52.92894997733325
2025-10-30 04:00:00,96.84110702516227,150.69047288615164,310.22311300812197,455.4796116106031,49.40962083260095,179.5587521929858,15.554279356197224,,36.61409565100471,,516.9553238973598,43.118516366254376
2025-10-30 05:00:00,417.8767291752798,371.3017084270284,728.3862697139051,1009.6723280667985,164.01292922202234,743.2114260735407,41.44379887965277,,66.92500521525417,,581.0833282131645,71.2737421881113
2025-10-30 06:00:00,427.26619260045624,1148.9669513130611,3112.686098467993,6153.277753900136,607.0177886529549,1396.5301376863627,158.14216464881474,,541.8675488364514,,544.7272070730661,105.19752628058872
2025-10-30 07:00:00,1235.3626091399137,12201.997321474517,41420.721310571615,64391.87001327997,7833.985655895786,22903.64611794339,2512.292155433304,,6912.159815273343,,5723.431306469683,1808.361442268029
2025-10-30 08:00:00,2524.6738632997244,40742.50969346134,120209.76036950802,140622.42751510337,3489.582648247251,15599.120072066742,16431.132065312966,,40637.89206913708,,16479.06619880692,7211.241675419005
2025-10-30 09:00:00,1873.0500768748475,20655.742431276394,57178.49710147025,76060.54523634257,14334.301937770668,49342.7775649788,5389.312203037765,,13532.56975261134,,8264.445107987505,4834.016869820778
2025-10-30 10:00:00,2372.0156163251922,18187.171490719527,45289.31755972523,57404.947171043044,13044.50587417289,59603.688666794646,5040.469431571442,,9658.021067873406,,9459.012602398117,6453.960106945835
2025-10-30 11:00:00,4026.9714270534073,29254.760584947224,69172.27747155791,82136.29169753425,21650.981878868064,119323.8276054945,10110.055608091703,,16294.062569637781,,20012.498011336513,12404.215338300071
2025-10-30 12:00:00,4952.163877900834,45790.029049011275,101266.6488653599,118331.23042409978,35058.81639008529,214190.46754145183,26698.350168783894,,51304.8442468597,,48213.35130173772,26391.68335816589
2025-10-30 13:00:00,5449.609192186666,44709.56615687393,96926.07361230071,109577.14191103219,30655.863172559297,168835.40937121643,14964.908158599546,,24812.60157786378,,16594.07210115034,18362.901987651872
2025-10-30 14:00:00,4953.83888962755,40770.216073931726,87192.66111355482,98479.07638718428,26965.96881630389,147293.10532696493,11983.717739607771,,19578.218442062545,,24916.288706132782,15100.616221059692
2025-10-30 15:00:00,5665.718873482172,49092.474052535326,107650.50296557446,118308.82077782745,29182.093643887605,161763.8174508878,11859.931656111967,,17337.88556436729,,24286.78592000565,13928.2907695664
2025-10-30 16:00:00,6970.072064633388,58329.29443723072,121580.04537818038,134620.5452054205,32807.64880584415,198067.59549666828,14127.550734899083,,18385.5511431283,,32893.282734075496,17597.381286456824
2025-10-30 17:00:00,5504.768489246665,96200.97288263465,211171.05400293285,219626.70323133175,54639.07477264021,345379.305106235,30761.571764689495,,42416.022549554604,,71703.122749224,33624.75523920194
2025-10-30 18:00:00,6001.102657139529,89511.71328729558,189263.98082725055,195397.50716895596,54134.97068238976,347879.9747897304,34115.679244940184,,48926.0066496234,,87975.93468173963,35027.3850383921
2025-10-30 19:00:00,3427.140329960574,75294.07731495764,146904.00976545707,151952.6473955903,36386.07220555588,204417.5998314264,19097.02188367975,,29863.18743086455,,65963.7411128278,20710.71200175871
2025-10-30 20:00:00,2968.9997462917586,62201.898483638615,113056.73858124051,108120.14826357948,23646.839914282424,130747.73864360726,12730.850194534663,,20383.843360436036,,64767.13783805282,8233.388442049454
2025-10-30 21:00:00,2836.1182466846485,41607.0362601954,64208.4949320613,63877.50419048927,14198.410962391681,84550.54844239328,7890.747485011787,,11007.580188008174,,48999.50212672786,5248.717941213034
2025-10-30 22:00:00,1921.321371916731,22496.08463256802,32632.13182836485,32891.91393360006,7342.673602301536,42463.09967778278,3623.8832287956525,,5337.573581153664,,34468.1720214727,3336.4175671961884
2025-10-30 23:00:00,1386.4591702636292,10682.624052148063,14498.057724751492,15434.633644317653,3825.1669202862545,27205.23722268254,2353.8583903320086,,3180.349223218599,,19224.78020762529,1860.4008300608687
2025-10-31 00:00:00,-0.16307869946582296,-0.5114503857587801,2979.081164278163,4331.162229295504,726.622193644234,3522.858595773823,390.48209825958844,,703.6310671712066,,8060.942744255851,734.1801435335204
2025-10-31 01:00:00,456.9796844522798,857.6515745651675,1427.9715290317467,2287.6416603413754,363.82402980692297,1691.0615653324387,129.80211881704489,,210.35619556640518,,3351.119652209933,301.8907962424084
2025-10-31 02:00:00,281.30522848703725,319.42507036683844,640.7557711277358,1201.78114583394,169.56085410296845,701.3853719570503,78.8322541115871,,177.0369471880225,,2207.8840920641396,175.50595753923926
2025-10-31 03:00:00,242.72467785747867,226.04028843047732,355.6023455196463,604.6581124256696,92.5424494421679,396.32047263330344,44.055348175647595,,109.22608309927887,,1224.3327074081951,92.19204945228064
2025-10-31 04:00:00,175.95915267786933,142.01554168748274,252.93537130823157,468.8199439649376,70.71790943477183,321.1253653062531,33.42918412308416,,75.94791497781188,,766.4445448899893,70.89499846327257
2025-10-31 05:00:00,292.0822428805498,361.81733302279906,652.1224453717041,1015.5891350804616,145.42930081409548,582.3744925637691,48.501747650590104,,106.75810766457505,,1054.301673602203,98.18979623331639
2025-10-31 06:00:00,490.12059303863947,1076.2155996087786,2785.2243325161494,5893.3881784617715,610.812639432411,1682.2799409635409,199.81464323366083,,619.9200369762514,,782.9910280873181,125.68173496782752
